ID,Title,Link
a-01,From developer pairs to AI copilots: a comparative study on knowledge transfer,https://doi.org/10.48550/arXiv.2506.04785
a-02,Toward effective AI support for developers: a survey of desires and concerns,https://doi.org/10.1145/3690928
a-03,JELAI: Integrating AI and Learning Analytics in Jupyter Notebooks,https://doi.org/10.1007/978-3-031-98465-5_9
a-04,Artificial Intelligence Agents for Materials Sciences,https://doi.org/10.1021/acs.jcim.3c01778
a-05,Can developers prompt? A controlled experiment for code documentation generation,https://doi.org/10.1109/icsme58944.2024.00058
a-06,Data Analysis in the Era of Generative AI,https://doi.org/10.48550/arXiv.2409.18475
a-07,It's like a rubber duck that talks back: Understanding Generative AI-Assisted Data Analysis Workflows through a Participatory Prompting Study,https://doi.org/10.1145/3663384.3663389
